brand_clean,avg_rating,avg_sentiment,recommendation_rate,review_count,positive_sentiment_pct,affinity_score
Carson-Dellosa Publishing,5.0,0.998,100.0,1,100.0,0.999
Healthy Skoop,5.0,0.996,100.0,1,100.0,0.999
Bebe Au Lait,5.0,0.998,100.0,1,100.0,0.999
Haagen-Dazs,5.0,0.993,100.0,2,100.0,0.998
Timekeeper,5.0,0.993,100.0,1,100.0,0.998
Black Radiance,5.0,0.994,100.0,1,100.0,0.998
Happy Family,5.0,0.993,100.0,9,100.0,0.998
Honey Bunches Of Oats,5.0,0.989,100.0,1,100.0,0.997
Season Seafood,5.0,0.99,100.0,1,100.0,0.997
Inc International Concepts,5.0,0.991,100.0,1,100.0,0.997
Hex Performance,5.0,0.99,100.0,4,100.0,0.997
Smooth 'N Shine,5.0,0.99,100.0,2,100.0,0.997
Peppa Pig,5.0,0.989,100.0,2,100.0,0.997
Creative Converting,5.0,0.99,100.0,1,100.0,0.997
Fangio Lighting,5.0,0.986,100.0,1,100.0,0.996
Rizzy Home,5.0,0.986,100.0,1,100.0,0.996
Sanrio,5.0,0.986,100.0,1,100.0,0.996
Smart Start,5.0,0.983,100.0,4,100.0,0.995
Porcelana,5.0,0.983,100.0,1,100.0,0.995
Stonyfield,5.0,0.982,100.0,1,100.0,0.995
Hunter Fan,5.0,0.979,100.0,2,100.0,0.994
Wet N Wild,5.0,0.976,100.0,2,100.0,0.993
Walkers,5.0,0.978,100.0,1,100.0,0.993
Hagerty,5.0,0.975,100.0,2,100.0,0.992
Tramontina,5.0,0.974,100.0,4,100.0,0.992
Swingline,5.0,0.975,100.0,3,100.0,0.992
Noosa,5.0,0.974,100.0,1,100.0,0.992
Lynk,5.0,0.969,100.0,3,100.0,0.991
Guardian,5.0,0.969,100.0,1,100.0,0.991
4C Foods,5.0,0.964,100.0,6,100.0,0.989
Citrus Magic,5.0,0.962,100.0,1,100.0,0.989
Hubba Bubba,5.0,0.964,100.0,1,100.0,0.989
La Tortilla Factory,5.0,0.964,100.0,1,100.0,0.989
Body Fantasies,5.0,0.964,100.0,1,100.0,0.989
Wilton,5.0,0.964,100.0,1,100.0,0.989
Jack Link'S,5.0,0.964,100.0,3,100.0,0.989
Pacific Natural Foods,5.0,0.96,100.0,1,100.0,0.988
Amy'S,5.0,0.961,100.0,1,100.0,0.988
Fiskars,5.0,0.958,100.0,5,100.0,0.987
Every Man Jack,5.0,0.958,100.0,1,100.0,0.987
Era,4.909,0.974,100.0,11,100.0,0.987
Ruffles,5.0,0.954,100.0,2,100.0,0.986
Imagine Foods,5.0,0.954,100.0,1,100.0,0.986
Tillamook,5.0,0.953,100.0,6,100.0,0.986
Isoplus,5.0,0.95,100.0,3,100.0,0.985
Rc Cola,5.0,0.948,100.0,2,100.0,0.984
Idahoan,4.909,0.965,100.0,11,100.0,0.984
American Greetings,5.0,0.947,100.0,2,100.0,0.984
Southern Enterprises,5.0,0.948,100.0,1,100.0,0.984
Sinful,4.875,0.97,100.0,8,100.0,0.983
Voortman,5.0,0.942,100.0,4,100.0,0.983
Calvin Klein,5.0,0.942,100.0,2,100.0,0.983
Eagle Brand,4.867,0.955,100.0,15,100.0,0.979
Black Opal,5.0,0.928,100.0,1,100.0,0.978
Wish-Bone,4.8,0.949,100.0,5,100.0,0.973
All-Bran,4.909,0.926,100.0,11,100.0,0.972
Concept Housewares,4.75,0.954,100.0,8,100.0,0.971
Clorox,4.825,0.947,99.075,10700,99.64,0.97
Avery,4.886,0.951,97.468,316,99.68,0.968
Eggo,4.778,0.933,100.0,27,100.0,0.967
Mgm,4.667,0.948,100.0,3,100.0,0.964
Ambi,4.75,0.93,100.0,4,100.0,0.964
Umgd,4.697,0.933,100.0,33,96.97,0.962
Hidden Valley,4.8,0.911,100.0,5,100.0,0.961
Universal Studios Home Entert.,4.757,0.939,98.571,70,98.57,0.961
Bounce,4.897,0.938,96.552,87,98.85,0.961
Bisquick,4.798,0.925,98.99,99,98.99,0.961
Cream Of Wheat,4.946,0.949,94.643,56,100.0,0.96
Disney,4.723,0.937,98.212,3692,98.54,0.957
Planters,4.833,0.923,97.619,42,97.62,0.957
Heinz,5.0,0.854,100.0,1,100.0,0.956
Summer'S Eve,4.833,0.921,97.222,36,97.22,0.955
Fiber One,4.821,0.925,96.429,28,96.43,0.952
Lionsgate,4.74,0.929,97.261,1351,97.63,0.952
Smead,4.81,0.94,95.041,121,98.35,0.951
Quilted Northern,4.826,0.926,95.83,1439,97.98,0.951
Cinnamon Toast Crunch,4.787,0.92,96.85,127,96.85,0.951
Spam,4.625,0.91,100.0,8,100.0,0.95
Benadryl,4.698,0.925,97.674,43,100.0,0.95
Cococare,4.667,0.896,100.0,3,100.0,0.949
Musselman'S,4.625,0.904,100.0,8,100.0,0.949
Kikkoman,4.6,0.906,100.0,5,100.0,0.948
Plum Organics,4.5,0.928,100.0,2,100.0,0.948
Universal Home Video,4.664,0.927,97.184,6178,97.3,0.947
Krusteaz,4.875,0.93,93.75,16,93.75,0.946
Jolly Time,4.704,0.925,96.296,27,96.3,0.945
Paramount Pictures,4.579,0.922,98.171,328,98.17,0.944
Australian Gold,4.919,0.927,91.892,37,100.0,0.941
Chester'S,4.81,0.918,93.855,179,96.65,0.939
Cheetos,4.733,0.917,95.0,60,95.0,0.939
Caribou Coffee,4.429,0.912,100.0,7,100.0,0.939
Warner Music Group,4.693,0.915,95.122,205,96.1,0.937
Hawaiian Punch,4.705,0.908,95.455,88,96.59,0.937
Caress,4.676,0.912,95.588,68,94.12,0.937
Summit Entertainment,4.579,0.913,96.833,821,97.2,0.936
Lemi Shine,4.794,0.916,92.908,423,97.16,0.934
Keri,4.68,0.894,96.0,25,96.0,0.933
Nature Valley,4.73,0.914,93.651,63,95.24,0.933
Nesco,4.9,0.927,90.0,10,100.0,0.932
International Delight,4.746,0.917,92.537,67,98.51,0.93
Vaseline,4.744,0.92,91.86,258,96.12,0.928
Starbucks Coffee,4.688,0.902,93.75,32,93.75,0.927
Warner Bros.,4.539,0.904,95.417,1920,95.78,0.925
Neato Robotics,4.333,0.883,100.0,3,100.0,0.925
Kiss,4.411,0.912,96.619,562,96.8,0.925
Jergens,4.778,0.941,88.889,9,100.0,0.925
Roommates,4.667,0.925,91.667,12,91.67,0.924
