brand_clean,category_level_1,review_count
Clorox,Household Essentials,8606
Universal Home Video,Featured Brands,5510
Fox,Movies,3741
Disney,Movies,3668
Tide,Household Essentials,3498
Olay,Personal Care,3420
Warner Home Video,Movies,3330
L'Oreal Paris,Personal Care,2683
L'Oreal Paris,Beauty,2288
Sony Pictures,Movies,2161
Clorox,Household Chemicals,2094
Rubbermaid,Household Essentials,1939
Warner Bros.,Movies,1895
Tide,Household Chemicals,1886
Quilted Northern,Household Essentials,1439
Burt'S Bees,Personal Care,965
Summit Entertainment,Movies & TV Shows,814
Nexxus,Personal Care,773
Fox,Movies & TV Shows,757
Maybelline,Personal Care,742
Lionsgate,Movies,715
Universal Home Video,Movies,668
Foodsaver,Kitchen & Dining,587
Lionsgate,Movies & TV Shows,583
Head & Shoulders,Personal Care,565
Kiss,Beauty,562
Pantene,Beauty,463
Aveeno,Personal Care,442
Lundberg,Food,426
Lemi Shine,Household Essentials,423
Just For Men,Personal Care,416
Clear Scalp & Hair Therapy,Personal Care,377
Hoover,Home,372
Pendaflex,School & Office Supplies,368
Sony,Electronics,359
Windex,Household Essentials,348
Lysol,Household Chemicals,336
Target.Com Use Only,Movies,331
Samsung,Mobile,328
Paramount Pictures,Movies,328
Avery,Office,315
Honeywell,Home,310
Tostitos,Food,287
Storkcraft,Baby,266
Vaseline,Personal Care,258
Hormel,Food,251
Opti-Free,Personal Care,224
Suave,Personal Care,223
Nivea,Personal Care,222
Warner Music Group,Music on CD or Vinyl,205
Pantene,Personal Care,192
Chester'S,Food,179
Sony Music,Music on CD or Vinyl,179
Biotene,Personal Care,177
Coty,Personal Care,159
Softsoap,Personal Care,141
Oxiclean,Household Chemicals,138
Cinnamon Toast Crunch,Food,127
Smead,School & Office Supplies,121
Sally Hansen,Personal Care,119
Cuisinart,Kitchen & Dining,116
Nyx,Personal Care,111
Lean Cuisine,Food,101
Shea Moisture,Personal Care,101
Vicks,Personal Care,101
Neutrogena,Personal Care,101
Bisquick,Food & Beverage,99
Aussie,Personal Care,95
Hawaiian Punch,Food,88
Bounce,Household Chemicals,87
Curel,Personal Care,81
Conair,Beauty,79
Banana Boat,Personal Care,74
Chips Ahoy,Food & Beverage,71
Universal Studios Home Entert.,Movies,70
Anti Monkey Butt,Personal Care,69
Caress,Personal Care,68
International Delight,Food,67
Sony Music,Movies,66
Yes To Carrots,Personal Care,66
Wea,Movies,65
Meguiars,Home,65
Nature Valley,Food & Beverage,63
Orajel,Personal Care,61
Cheetos,Food,60
Ragu,Food,60
Juice Beauty,Personal Care,60
Zyliss,Kitchen & Dining,59
Axe,Personal Care,59
Pleasant Hearth,Home,58
Tresemme,Personal Care,58
Cream Of Wheat,Food,56
Pleasant Hearth,Home Improvement,54
Lionsgate,Featured Brands,53
Lionsgate Home Entertainment,Movies,48
Cetaphil,Beauty,47
Benadryl,Health,43
Canada Dry,Food & Beverage,43
Finish,Household Essentials,43
Planters,Food,42
Biore,Personal Care,40
Power Crunch,Food,40
Criterion Collection Inc,Movies,39
Yes To Grapefruit,Personal Care,39
The Honest Company,Household Chemicals,39
Ogx,Personal Care,38
Kraus,Home Improvement,37
Australian Gold,Personal Care,37
Summer'S Eve,Personal Care,36
Keebler,Food,34
Universal Music,Music on CD or Vinyl,34
Lady Mitchum,Personal Care,33
Umgd,Movies,33
Starbucks Coffee,Food & Beverage,32
Holmes,Home,32
Nutri-Grain,Food,32
Lumisource,Home,31
Mrs. Meyer'S,Personal Care,30
Covergirl,Personal Care,30
Anchor Bay,Movies,30
Kind,Food,30
Mrs. Meyer'S,Household Essentials,29
Chex,Food,29
Tree Hut,Personal Care,29
Progresso,Food,29
Fiber One,Food & Beverage,28
Olly,Health,28
Almay,Personal Care,28
Maaya Home,Furniture,27
Eggo,Food & Beverage,27
K-Y,Personal Care,27
Jolly Time,Food,27
Tom'S Of Maine,Personal Care,27
Stacy'S,Food,26
Chobani,Food & Beverage,25
Cerave,Personal Care,25
Keri,Personal Care,25
Warner Bros.,Featured Brands,25
American Atelier,Holiday Shop,25
Super Poligrip,Personal Care,24
Disney,Featured Brands,24
Delta Faucet,Home Improvement,24
Milani,Personal Care,24
American Crew,Personal Care,23
Air Wick,Household Essentials,22
Bumble Bee,Food,22
Physician'S Formula,Personal Care,22
Vornado,Home,22
Mrs. Meyer'S,Household Chemicals,21
Tai Pei,Food,20
Baby Banana,Gift Finder,19
Stridex,Personal Care,19
Idesign,Kitchen & Dining,19
Maranatha,Food,19
Arrid,Personal Care,18
Sizzix,Home,18
Iman,Personal Care,17
Early California,Food,17
Lush Decor,Home,17
Krusteaz,Food & Beverage,16
Queen Helene,Personal Care,16
Johnson'S,Personal Care,16
Cerave,Beauty,15
Mill Creek,Personal Care,15
Stauffer'S,Food,15
Dermalogica,Personal Care,15
Eagle Brand,Food,15
Chi,Personal Care,14
Rubbermaid Lock-Its,Kitchen & Dining,14
Colorbok,Home,13
Solo Foods,Food,13
Stander,Health,13
Care Free Curl,Personal Care,13
Sabra,Home,13
Metzeler,Auto & Tires,13
Better Built,Auto & Tires,12
Weather Tech,Auto & Tires,12
Nielsen,Home,12
Roommates,Home,12
Wheat Thins,Food,12
Universal Home Entertainment,Movies,12
Pioneer,Home,12
Creme Of Nature,Personal Care,12
Nordic Games,Video Games,12
Oxy,Personal Care,12
Simply Shabby Chic,Brand Shop,12
Newman'S Own,Food,11
Ben & Jerry'S,Food,11
Michelin,Auto & Tires,11
Way Basics,Home,11
Mitchum,Personal Care,11
Mrs. Smith'S,Food,11
Era,Household Chemicals,11
Hugo Naturals,Personal Care,11
Trend Lab,Baby,11
Idahoan,Food,11
All-Bran,Food,11
Schwarzkopf,Beauty,10
Nearly Natural,Home,10
Sc252Nci,Featured Brands,10
J.R. Watkins,Personal Care,10
Nesco,Kitchen & Dining,10
Mars,Food & Beverage,10
Annie'S,Food,10
Obagi,Personal Care,10
The Laundress,Household Chemicals,9
Feit,Home,9
Africa'S Best,Personal Care,9
Happy Family,Food,9
Jla Home,Home,9
Ust,Home,9
Jergens,Personal Care,9
Jerdon,Beauty,9
J.A. Henckels,Kitchen & Dining,9
Bengay,Personal Care,9
Colorganics,Personal Care,9
The Seaweed Bath Co.,Personal Care,9
Spam,Food,8
Musselman'S,Food,8
Sc Johnson,Household Chemicals,8
Concept Housewares,Kitchen & Dining,8
Weleda,Personal Care,8
Sinful,Personal Care,8
Kohler,Home Improvement,8
Nojo,Baby,8
Lite Source,Home,8
Wild Planet,Food,8
Soft Scrub,Household Chemicals,8
Baxter Of California,Personal Care,8
Biokleen,Household Chemicals,8
Bestway,Sports & Outdoors,8
Northwest,Home,8
Barielle,Personal Care,8
Summit Entertainment,Movies,7
Nature'S Path,Food,7
Pinaud,Personal Care,7
Warner Manufacturing,Movies,7
Caribou Coffee,Food & Beverage,7
Cetaphil,Personal Care,7
Sea Gull Lighting,Home,7
Tim Holtz,Home,7
Sony,Movies,7
D-Con,Household Essentials,7
Starbucks,Food & Beverage,7
Universal,Movies & TV Shows,6
Tillamook,Food,6
Soothing Touch,Personal Care,6
South Shore,Furniture,6
Trend,School & Office Supplies,6
4C Foods,Food,6
Lay'S,Food,6
Attitude,Household Chemicals,6
Attwood,Sports & Outdoors,6
Murray Cookies,Food,6
Bedtime Originals,Baby,6
Brownline,School & Office Supplies,6
Newman'S Own Organics,Food,6
Gain,Household Essentials,6
Hollywood Beauty,Personal Care,6
J. Hunt,Home,5
Reebok,Clothing,5
Klondike,Food,5
Kikkoman,Food,5
Karaoke Usa,Musical Instruments & Karaoke,5
Safavieh,Home,5
Hidden Valley,Food & Beverage,5
Fiskars,Home,5
Plano,Sports & Outdoors,5
Teenage Mutant Ninja Turtles,Kids' Rooms,5
Wagan,Home,5
Badger,Personal Care,5
Wish-Bone,Food,5
Suncoat,Personal Care,5
Mario Badescu,Personal Care,5
Moom,Personal Care,5
Naturtint,Personal Care,5
Petmaker,Pets,4
Hex Performance,Household Essentials,4
International Concepts,Home,4
Skittles,Food & Beverage,4
Smart Start,Food,4
Snyder'S Of Hanover,Food,4
Sony,Photography,4
