brand_clean,category_level_1,avg_rating,avg_sentiment,recommendation_rate,review_count,positive_count,negative_count,base_score,recommendation_score
4C Foods,Food,5.0,0.964,100.0,6,6,0,0.8339545041252793,1.0
Adesso,Home,5.0,0.857,50.0,2,2,0,0.6385010406292841,0.7885010406292842
Advantage,Home,4.0,0.691,0.0,3,3,0,0.4033514061761714,0.20335140617617137
Africa'S Best,Personal Care,4.444,0.863,88.889,9,8,1,0.7554448354598418,0.8054448354598418
Air Wick,Household Essentials,4.636,0.881,86.364,22,22,0,0.7803556783901884,0.9303556783901884
Alberto Vo5,Personal Care,5.0,0.771,0.0,3,3,0,0.47335140617617133,0.3733514061761713
Alera,Furniture,3.0,0.737,100.0,1,1,0,0.6495507030880857,0.7495507030880857
All-Bran,Food,4.909,0.926,100.0,11,11,0,0.8318024468054557,1.0
Almay,Personal Care,4.571,0.827,60.714,28,25,1,0.69177252481401,0.84177252481401
Ambi,Personal Care,4.75,0.93,100.0,4,4,0,0.805527132371756,1.0
American Atelier,Holiday Shop,3.84,0.68,28.0,25,21,2,0.517920032510722,0.31792003251072204
American Crew,Personal Care,4.391,0.694,4.348,23,21,0,0.47624714989354133,0.2762471498935413
American Greetings,Holiday Shop,5.0,0.947,100.0,2,2,0,0.8110010406292842,1.0
Amy'S,Food & Beverage,5.0,0.961,100.0,1,1,0,0.8055507030880856,1.0
Anchor Bay,Movies,4.767,0.922,86.667,30,30,0,0.8046536867853191,0.9546536867853191
Annie'S,Food,4.5,0.839,70.0,10,9,0,0.6976817360503049,0.847681736050305
Anti Monkey Butt,Personal Care,4.855,0.889,85.507,69,67,1,0.8153033395851211,0.9653033395851212
Arrid,Personal Care,3.944,0.71,72.222,18,13,4,0.6563622776229103,0.5563622776229104
Attitude,Household Chemicals,3.833,0.664,16.667,6,6,0,0.4506055041252794,0.2506055041252794
Attwood,Sports & Outdoors,3.333,0.599,66.667,6,4,2,0.5593555041252793,0.5593555041252793
Aussie,Personal Care,4.253,0.848,86.316,95,82,7,0.7843525560697127,0.7343525560697127
Australian Gold,Personal Care,4.919,0.927,91.892,37,37,0,0.8336729807109962,0.9836729807109962
Aveeno,Personal Care,3.808,0.669,30.543,442,315,72,0.583789973156778,0.283789973156778
Avery,Office,4.886,0.951,97.46,315,314,0,0.9014836837364198,1.0
Avery,School & Office Supplies,5.0,0.999,100.0,1,1,0,0.8150507030880857,1.0
Axe,Personal Care,4.254,0.718,11.864,59,55,3,0.5181715791772116,0.21817157917721156
Baby Banana,Gift Finder,4.684,0.86,57.895,19,18,0,0.6890135385479274,0.8390135385479274
Baby Jogger,Baby,4.0,0.895,100.0,1,1,0,0.7390507030880857,0.8890507030880858
Badger,Personal Care,4.8,0.734,0.0,5,5,0,0.4630517437173699,0.36305174371736987
Banana Boat,Personal Care,4.216,0.804,70.27,74,64,7,0.7179153053727962,0.6679153053727963
Bareminerals,Personal Care,5.0,0.871,50.0,2,2,0,0.6420010406292842,0.7920010406292842
Barielle,Personal Care,5.0,0.781,0.0,8,8,0,0.49375208125856845,0.3937520812585685
Batherapy,Personal Care,5.0,0.774,0.0,2,2,0,0.46775104062928424,0.36775104062928426
Baxter Of California,Personal Care,4.625,0.724,0.0,8,8,0,0.4607520812585684,0.36075208125856845
Baxton Studio,Furniture,4.0,0.736,50.0,2,1,0,0.5582510406292842,0.5582510406292842
Beanitos,Food,4.5,0.715,0.0,4,4,0,0.439277132371756,0.339277132371756
